id,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,七天移動平均疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,總人口數,中位數年紀,70歲以上人口比例,平均壽命,解除隔離數,解封指數
159357,TWN,亞洲,台灣,2022/6/9,2693787,72846,70803.714,3584,211,151.857,112923.332,150.241,0,0,0,0,0,0,0,56053322,21075930,113528,85613,234.98,88.35,0,23855008,42.2,8.353,80.46,14835,180.83
159356,TWN,亞洲,台灣,2022/6/8,2620941,80070,71387.143,3373,159,142.286,109869.634,141.396,0,11988984,87922,502.577,86535,0.825,1.2,55939794,21045793,110749,100953,234.5,88.22,0,23855008,42.2,8.353,80.46,14835,175.9
159355,TWN,亞洲,台灣,2022/6/7,2540871,82990,72555.429,3214,124,137,106513.106,134.731,0,11901062,99524,498.892,87667,0.828,1.2,55829045,20998712,104057,108069,234.03,88.03,26.85,23855008,42.2,8.353,80.46,14835,170.49
159354,TWN,亞洲,台灣,2022/6/6,2457881,53010,72218,3090,151,132.143,103034.172,129.533,0,11801538,105479,494.72,88934,0.812,1.2,55724988,20958720,116694,112921,233.6,87.86,26.85,23855008,42.2,8.353,80.46,14835,164.89
159353,TWN,亞洲,台灣,2022/6/5,2404871,62077,73228.429,2939,276,126.143,100811.997,123.203,0,11696059,65045,490.298,88623,0.826,1.2,55608294,20908631,0,112926,233.11,87.65,26.85,23855008,42.2,8.353,80.46,14835,161.31
159352,TWN,亞洲,台灣,2022/6/4,2342794,68128,75298.714,2663,0,102.286,98209.734,111.633,0,11631014,77953,487.571,89988,0.837,1.2,0,0,0,117691,0,0,26.85,23855008,42.2,8.353,80.46,14835,157.1
159351,TWN,亞洲,台灣,2022/6/3,2274666,76505,77085.571,2663,142,125.571,95353.814,111.633,0,11553061,79520,484.303,92194,0.836,1.2,55524585,20856827,70556,122456,232.76,87.43,26.85,23855008,42.2,8.353,80.46,14835,152.51
159350,TWN,亞洲,台灣,2022/6/2,2198161,76930,79698.571,2521,144,123.286,92146.731,105.68,1.27,11473541,90302,480.97,94947,0.839,1.2,55454029,20818967,220905,133693,232.46,87.27,26.85,23855008,42.2,8.353,80.46,1374278870,-1
159349,TWN,亞洲,台灣,2022/6/1,2121231,88248,80407.286,2377,122,117.571,88921.831,99.644,1.27,11383239,95847,477.184,98186,0.819,1.2,55233124,20703963,160559,120012,231.54,86.79,26.85,23855008,42.2,8.353,80.46,14835,142.15
159348,TWN,亞洲,台灣,2022/5/31,2032983,80628,80566.286,2255,90,111,85222.482,94.529,1.28,11287392,108391,473.167,99392,0.811,1.2,55072565,20608998,138024,110326,230.86,86.39,26.85,23855008,42.2,8.353,80.46,14835,136.19
159347,TWN,亞洲,台灣,2022/5/30,1952355,60083,80816.429,2165,109,104.143,81842.563,90.757,1.28,11179001,103303,468.623,100024,0.808,1.2,54934541,20528763,116728,99402,230.29,86.06,26.85,23855008,42.2,8.353,80.46,14835,130.75
159346,TWN,亞洲,台灣,2022/5/29,1892272,76569,81700.143,2056,109,94.286,79323.889,86.187,1.3,11075698,74600,464.292,101038,0.809,1.2,54817813,20470666,0,92412,229.8,85.81,26.85,23855008,42.2,8.353,80.46,14835,126.69
159345,TWN,亞洲,台灣,2022/5/28,1815703,80636,82115.143,1947,163,86.286,76114.122,81.618,1.31,11001098,93392,461.165,102139,0.804,1.2,0,0,0,87909,0,0,26.85,23855008,42.2,8.353,80.46,14835,121.52
159344,TWN,亞洲,台灣,2022/5/27,1735067,94796,82682.286,1784,126,71.429,72733.868,74.785,1.33,10907706,98797,457.25,102908,0.804,1.2,54667393,20383044,149217,83406,229.17,85.45,26.85,23855008,42.2,8.353,80.46,14835,116.08
159343,TWN,亞洲,台灣,2022/5/26,1640271,81891,81387.143,1658,104,60.429,68760.027,69.503,1.35,10808909,112972,453.109,104289,0.78,1.3,54518176,20300674,125136,77748,228.54,85.1,26.85,23855008,42.2,8.353,80.46,14835,109.68
159342,TWN,亞洲,台灣,2022/5/25,1558380,89361,82462.714,1554,76,54,65327.163,65.144,1.37,10695937,104290,448.373,103488,0.797,1.3,54393040,20241339,92757,71461,228.02,84.85,26.85,23855008,42.2,8.353,80.46,14835,104.15
159341,TWN,亞洲,台灣,2022/5/24,1469019,82379,81851.429,1478,42,49,61581.157,61.958,1.4,10591647,112817,444.001,105355,0.777,1.3,54300283,20199700,61559,69386,227.63,84.68,26.85,23855008,42.2,8.353,80.46,14835,98.12
159340,TWN,亞洲,台灣,2022/5/23,1386640,66269,79483.286,1436,40,48.429,58127.836,60.197,1.42,10478830,110401,439.272,104890,0.758,1.3,54238724,20183400,67792,71799,227.37,84.61,26.85,23855008,42.2,8.353,80.46,14835,92.57
159339,TWN,亞洲,台灣,2022/5/22,1320371,79474,78832.571,1396,53,46.857,55349.845,58.52,1.45,10368429,82304,434.644,102806,0.767,1.3,54170932,20168183,0,72923,227.08,84.54,26.85,23855008,42.2,8.353,80.46,14835,88.1
159338,TWN,亞洲,台灣,2022/5/21,1240897,84606,77296.143,1343,59,42,52018.302,56.298,1.48,10286125,98776,431.194,102388,0.755,1.3,0,0,0,73046,0,0,26.85,23855008,42.2,8.353,80.46,14835,82.74
159337,TWN,亞洲,台灣,2022/5/20,1156291,85730,83631.571,1284,49,45.143,48471.625,53.825,1.52,10187349,108461,427.053,100998,0.828,1.2,54083554,20148051,109614,73169,226.72,84.46,26.85,23855008,42.2,8.353,80.46,14835,77.03
159336,TWN,亞洲,台灣,2022/5/19,1070561,89420,71384.429,1235,59,38.143,44877.83,51.771,1.56,10078888,107367,422.506,98329,0.726,1.4,53973940,20106678,81127,75623,226.26,84.29,26.85,23855008,42.2,8.353,80.46,14835,71.25
159335,TWN,亞洲,台灣,2022/5/18,981141,85082,67955.143,1176,41,32.143,41129.351,49.298,1.59,9971521,117361,418.005,95907,0.709,1.4,53892813,20076887,78230,75435,225.92,84.16,26.85,23855008,42.2,8.353,80.46,14835,65.22
159334,TWN,亞洲,台灣,2022/5/17,896059,65802,63962.286,1135,38,27.429,37562.721,47.579,1.63,9854160,109558,413.086,92385,0.692,1.4,53814583,20050318,78452,75693,225.59,84.05,26.85,23855008,42.2,8.353,80.46,14835,59.48
159333,TWN,亞洲,台灣,2022/5/16,830257,61714,61821.857,1097,29,23.714,34804.306,45.986,1.67,9744602,95813,408.493,90621,0.682,1.5,53736131,20021131,75661,75130,225.26,83.93,26.85,23855008,42.2,8.353,80.46,14835,55.04
159332,TWN,亞洲,台灣,2022/5/15,768543,68719,71424.857,1068,19,24.571,32217.26,44.77,1.72,9648789,79382,404.476,87351,0.818,1.2,53660470,19999868,0,75472,224.94,83.84,26.85,23855008,42.2,8.353,80.46,14835,50.88
159331,TWN,亞洲,台灣,2022/5/14,699824,128954,61607.857,1049,81,21.857,29336.565,43.974,1.77,9569407,89041,401.149,84632,0.728,1.4,0,0,0,76312,0,0,26.85,23855008,42.2,8.353,80.46,14835,46.24
159330,TWN,亞洲,台灣,2022/5/13,570870,0,43185.857,968,0,10.286,23930.824,40.578,1.8,9480366,89780,397.416,82103,0.526,1.9,53571370,19978334,126793,77153,224.57,83.75,26.85,23855008,42.2,8.353,80.46,14835,37.55
159329,TWN,亞洲,台灣,2022/5/12,570870,65415,48352.571,968,17,11.714,23930.824,40.578,1.85,9390586,90416,393.653,80667,0.599,1.7,53444577,19930415,79806,77151,224.04,83.55,26.85,23855008,42.2,8.353,80.46,14835,37.55
159328,TWN,亞洲,台灣,2022/5/11,505455,57132,43291,951,8,10,21188.633,39.866,1.9,9300170,92702,389.862,77040,0.562,1.8,53364771,19904865,80039,80068,223.7,83.44,26.85,23855008,42.2,8.353,80.46,14835,33.14
159327,TWN,亞洲,台灣,2022/5/10,448323,50819,39197.286,943,12,9.571,18793.664,39.53,1.95,9207468,97211,385.976,72867,0.538,1.9,53284732,19884741,74509,86971,223.37,83.36,26.85,23855008,42.2,8.353,80.46,14835,29.28
159326,TWN,亞洲,台灣,2022/5/9,397504,128935,37792.714,931,35,9,16663.335,39.027,2.01,9110257,72923,381.901,68286,0.553,1.8,53210223,19865219,78060,87600,223.06,83.27,26.85,23855008,42.2,8.353,80.46,14835,25.86
159325,TWN,亞洲,台灣,2022/5/8,268569,0,19373.429,896,0,4,11258.391,37.56,1.99,9037334,60354,378.844,67288,0.288,3.5,53132163,19848511,0,86998,222.73,83.2,26.85,23855008,42.2,8.353,80.46,14835,17.16
159324,TWN,亞洲,台灣,2022/5/7,268569,0,21812.286,896,0,4.429,11258.391,37.56,2,8976980,71336,376.314,65852,0.331,3,0,0,0,86414,0,0,26.85,23855008,42.2,8.353,80.46,14835,17.16
159323,TWN,亞洲,台灣,2022/5/6,268569,36167,23973.714,896,10,4.857,11258.391,37.56,2.02,8905644,79724,373.324,63691,0.376,2.7,53031302,19832764,126783,85830,222.31,83.14,26.85,23855008,42.2,8.353,80.46,14835,17.16
159322,TWN,亞洲,台灣,2022/5/5,232402,29984,20565.143,886,5,3.714,9742.273,37.141,2.04,8825920,65032,369.982,61159,0.336,3,52904519,19809571,100221,85004,221.78,83.04,26.85,23855008,42.2,8.353,80.46,14835,14.73
159321,TWN,亞洲,台灣,2022/5/4,202418,28476,17925.714,881,5,3.286,8485.346,36.931,2.07,8760888,63487,367.256,60098,0.298,3.4,52804298,19793333,128365,85302,221.36,82.97,26.85,23855008,42.2,8.353,80.46,14835,12.7
159320,TWN,亞洲,台灣,2022/5/3,173942,40987,15131.429,876,8,2.857,7291.635,36.722,2.09,8697401,65146,364.594,60496,0.25,4,52675933,19774629,78911,81601,220.82,82.9,26.85,23855008,42.2,8.353,80.46,14835,10.78
159319,TWN,亞洲,台灣,2022/5/2,132955,0,10181.286,868,0,1.714,5573.463,36.386,2.08,8632255,65934,361.863,60377,0.169,5.9,52597022,19761449,73844,84149,220.49,82.84,26.85,23855008,42.2,8.353,80.46,14835,8.02
159318,TWN,亞洲,台灣,2022/5/1,132955,17072,10926.714,868,3,1.714,5573.463,36.386,2.09,8566321,50305,359.099,60784,0.18,5.6,52523178,19749743,0,91208,220.18,82.79,26.85,23855008,42.2,8.353,80.46,14835,8.02
159317,TWN,亞洲,台灣,2022/4/30,115883,15130,9226.429,865,3,1.286,4857.806,36.261,2.1,8516016,56208,356.991,60465,0.153,6.6,0,0,0,93648,0,0,26.85,23855008,42.2,8.353,80.46,14835,6.87
159316,TWN,亞洲,台灣,2022/4/29,100753,12307,7664.714,862,2,0.857,4223.558,36.135,2.1,8459808,62003,354.634,59447,0.129,7.8,52430493,19737798,121002,96087,219.79,82.74,26.85,23855008,42.2,8.353,80.46,14835,5.85
159315,TWN,亞洲,台灣,2022/4/28,88446,11508,6457.571,860,2,0.571,3707.649,36.051,2.1,8397805,57606,352.035,59123,0.109,9.2,52309491,19722265,102305,102740,219.28,82.68,26.85,23855008,42.2,8.353,80.46,14835,5.02
159314,TWN,亞洲,台灣,2022/4/27,76938,8916,5250.286,858,2,0.286,3225.235,35.967,2.1,8340199,66270,349.62,59060,0.089,11.2,52207186,19707610,102459,108399,218.85,82.61,26.85,23855008,42.2,8.353,80.46,14835,4.24
159313,TWN,亞洲,台灣,2022/4/26,68022,6336,4330.286,856,0,0.286,2851.477,35.883,2.09,8273929,64313,346.842,58152,0.075,13.4,52104727,19692380,96746,111518,218.42,82.55,30.56,23855008,42.2,8.353,80.46,14835,3.64
159312,TWN,亞洲,台灣,2022/4/25,61686,5218,3671.857,856,0,0.286,2585.872,35.883,2.08,8209616,68782,344.146,57186,0.064,15.6,52007981,19679107,123259,114217,218.02,82.49,30.56,23855008,42.2,8.353,80.46,14835,3.22
159311,TWN,亞洲,台灣,2022/4/24,56468,5170,3137.286,856,0,0.286,2367.134,35.883,2.08,8140834,48072,341.263,55522,0.057,17.7,51884722,19663569,0,117255,217.5,82.43,30.56,23855008,42.2,8.353,80.46,14835,2.86
159310,TWN,亞洲,台灣,2022/4/23,51298,4198,2584.714,856,0,0.286,2150.408,35.883,2.06,8092762,49081,339.248,53652,0.048,20.8,0,0,0,125838,0,0,30.56,23855008,42.2,8.353,80.46,14835,2.52
159309,TWN,亞洲,台灣,2022/4/22,47100,3857,2177.571,856,0,0.286,1974.428,35.883,2.05,8043681,59737,337.19,52705,0.041,24.2,51757881,19648569,167573,134421,216.97,82.37,30.56,23855008,42.2,8.353,80.46,14835,2.23
159308,TWN,亞洲,台灣,2022/4/21,43243,3057,1809.857,856,0,0.286,1812.743,35.883,2.03,7983944,57164,334.686,51189,0.035,28.3,51590308,19631579,141917,128124,216.27,82.3,30.56,23855008,42.2,8.353,80.46,14835,1.97
159307,TWN,亞洲,台灣,2022/4/20,40186,2476,1513.286,856,2,0.286,1684.594,35.883,2.01,7926780,59912,332.29,49870,0.03,33,51448391,19615722,124290,123488,215.67,82.23,30.56,23855008,42.2,8.353,80.46,14835,1.77
159306,TWN,亞洲,台灣,2022/4/19,37710,1727,1292,854,0,0,1580.8,35.8,1.98,7866868,57557,329.778,48886,0.026,37.8,51324101,19602331,115642,119969,215.15,82.17,30.56,23855008,42.2,8.353,80.46,14835,1.6
159305,TWN,亞洲,台灣,2022/4/18,35983,1476,1134.714,854,0,0,1508.404,35.8,1.96,7809311,57129,327.366,47630,0.024,42,51208459,19590254,144525,116857,214.67,82.12,30.56,23855008,42.2,8.353,80.46,14835,1.48
159304,TWN,亞洲,台灣,2022/4/17,34507,1302,1013.857,854,0,0,1446.531,35.8,1.94,7752182,34987,324.971,47826,0.021,47.2,51063934,19575164,0,111025,214.06,82.06,30.56,23855008,42.2,8.353,80.46,14835,1.39
